STATION,NAME,DATE,TAVG,TMAX,TMIN
ASN00009021,"PERTH AIRPORT, AS",1/1/1971,,75,66
ASN00009021,"PERTH AIRPORT, AS",1/2/1971,,76,54
ASN00009021,"PERTH AIRPORT, AS",1/3/1971,,75,56
ASN00009021,"PERTH AIRPORT, AS",1/4/1971,,74,54
ASN00009021,"PERTH AIRPORT, AS",1/5/1971,,76,57
ASN00009021,"PERTH AIRPORT, AS",1/6/1971,,78,54
ASN00009021,"PERTH AIRPORT, AS",1/7/1971,,75,57
ASN00009021,"PERTH AIRPORT, AS",1/8/1971,,74,59
ASN00009021,"PERTH AIRPORT, AS",1/9/1971,,77,52
ASN00009021,"PERTH AIRPORT, AS",1/10/1971,,75,62
ASN00009021,"PERTH AIRPORT, AS",1/11/1971,,79,56
ASN00009021,"PERTH AIRPORT, AS",1/12/1971,,85,56
ASN00009021,"PERTH AIRPORT, AS",1/13/1971,,78,56
ASN00009021,"PERTH AIRPORT, AS",1/14/1971,,78,53
ASN00009021,"PERTH AIRPORT, AS",1/15/1971,,81,52
ASN00009021,"PERTH AIRPORT, AS",1/16/1971,,90,62
ASN00009021,"PERTH AIRPORT, AS",1/17/1971,,101,66
ASN00009021,"PERTH AIRPORT, AS",1/18/1971,,76,67
ASN00009021,"PERTH AIRPORT, AS",1/19/1971,,86,56
ASN00009021,"PERTH AIRPORT, AS",1/20/1971,,92,63
ASN00009021,"PERTH AIRPORT, AS",1/21/1971,,105,75
ASN00009021,"PERTH AIRPORT, AS",1/22/1971,,106,80
ASN00009021,"PERTH AIRPORT, AS",1/23/1971,,84,69
ASN00009021,"PERTH AIRPORT, AS",1/24/1971,,91,62
ASN00009021,"PERTH AIRPORT, AS",1/25/1971,,88,62
ASN00009021,"PERTH AIRPORT, AS",1/26/1971,,86,62
ASN00009021,"PERTH AIRPORT, AS",1/27/1971,,95,70
ASN00009021,"PERTH AIRPORT, AS",1/28/1971,,95,70
ASN00009021,"PERTH AIRPORT, AS",1/29/1971,,95,78
ASN00009021,"PERTH AIRPORT, AS",1/30/1971,,96,78
ASN00009021,"PERTH AIRPORT, AS",1/31/1971,,89,74
ASN00009021,"PERTH AIRPORT, AS",2/1/1971,,95,71
ASN00009021,"PERTH AIRPORT, AS",2/2/1971,,102,76
ASN00009021,"PERTH AIRPORT, AS",2/3/1971,,95,72
ASN00009021,"PERTH AIRPORT, AS",2/4/1971,,88,70
ASN00009021,"PERTH AIRPORT, AS",2/5/1971,,83,69
ASN00009021,"PERTH AIRPORT, AS",2/6/1971,,77,69
ASN00009021,"PERTH AIRPORT, AS",2/7/1971,,77,61
ASN00009021,"PERTH AIRPORT, AS",2/8/1971,,80,57
ASN00009021,"PERTH AIRPORT, AS",2/9/1971,,83,58
ASN00009021,"PERTH AIRPORT, AS",2/10/1971,,89,57
ASN00009021,"PERTH AIRPORT, AS",2/11/1971,,87,62
ASN00009021,"PERTH AIRPORT, AS",2/12/1971,,87,63
ASN00009021,"PERTH AIRPORT, AS",2/13/1971,,79,56
ASN00009021,"PERTH AIRPORT, AS",2/14/1971,,73,59
ASN00009021,"PERTH AIRPORT, AS",2/15/1971,,75,63
ASN00009021,"PERTH AIRPORT, AS",2/16/1971,,78,56
ASN00009021,"PERTH AIRPORT, AS",2/17/1971,,78,57
ASN00009021,"PERTH AIRPORT, AS",2/18/1971,,76,53
ASN00009021,"PERTH AIRPORT, AS",2/19/1971,,83,54
ASN00009021,"PERTH AIRPORT, AS",2/20/1971,,88,62
ASN00009021,"PERTH AIRPORT, AS",2/21/1971,,90,63
ASN00009021,"PERTH AIRPORT, AS",2/22/1971,,92,64
ASN00009021,"PERTH AIRPORT, AS",2/23/1971,,99,70
ASN00009021,"PERTH AIRPORT, AS",2/24/1971,,99,77
ASN00009021,"PERTH AIRPORT, AS",2/25/1971,,79,69
ASN00009021,"PERTH AIRPORT, AS",2/26/1971,,79,68
ASN00009021,"PERTH AIRPORT, AS",2/27/1971,,85,60
ASN00009021,"PERTH AIRPORT, AS",2/28/1971,,88,65
ASN00009021,"PERTH AIRPORT, AS",3/1/1971,,92,63
ASN00009021,"PERTH AIRPORT, AS",3/2/1971,,95,69
ASN00009021,"PERTH AIRPORT, AS",3/3/1971,,100,71
ASN00009021,"PERTH AIRPORT, AS",3/4/1971,,83,66
ASN00009021,"PERTH AIRPORT, AS",3/5/1971,,78,69
ASN00009021,"PERTH AIRPORT, AS",3/6/1971,,83,61
ASN00009021,"PERTH AIRPORT, AS",3/7/1971,,82,64
ASN00009021,"PERTH AIRPORT, AS",3/8/1971,,80,59
ASN00009021,"PERTH AIRPORT, AS",3/9/1971,,87,56
ASN00009021,"PERTH AIRPORT, AS",3/10/1971,,87,62
ASN00009021,"PERTH AIRPORT, AS",3/11/1971,,90,65
ASN00009021,"PERTH AIRPORT, AS",3/12/1971,,76,68
ASN00009021,"PERTH AIRPORT, AS",3/13/1971,,79,60
ASN00009021,"PERTH AIRPORT, AS",3/14/1971,,81,59
ASN00009021,"PERTH AIRPORT, AS",3/15/1971,,82,60
ASN00009021,"PERTH AIRPORT, AS",3/16/1971,,88,68
ASN00009021,"PERTH AIRPORT, AS",3/17/1971,,91,63
ASN00009021,"PERTH AIRPORT, AS",3/18/1971,,89,68
ASN00009021,"PERTH AIRPORT, AS",3/19/1971,,94,69
ASN00009021,"PERTH AIRPORT, AS",3/20/1971,,96,67
ASN00009021,"PERTH AIRPORT, AS",3/21/1971,,84,65
ASN00009021,"PERTH AIRPORT, AS",3/22/1971,,84,58
ASN00009021,"PERTH AIRPORT, AS",3/23/1971,,76,64
ASN00009021,"PERTH AIRPORT, AS",3/24/1971,,75,58
ASN00009021,"PERTH AIRPORT, AS",3/25/1971,,79,56
ASN00009021,"PERTH AIRPORT, AS",3/26/1971,,84,58
ASN00009021,"PERTH AIRPORT, AS",3/27/1971,,72,64
ASN00009021,"PERTH AIRPORT, AS",3/28/1971,,64,63
ASN00009021,"PERTH AIRPORT, AS",3/29/1971,,69,55
ASN00009021,"PERTH AIRPORT, AS",3/30/1971,,74,54
ASN00009021,"PERTH AIRPORT, AS",3/31/1971,,80,59
ASN00009021,"PERTH AIRPORT, AS",4/1/1971,,85,62
